scanner_id,approval_status,created_on,description,facility_id,last_modified_on,name,user_id
10,0,1369072283,225kV source (from W filament) with max power of 225W. Spot size is ~3um. Moveable detector.,11,1437068535,Nikon XTH 225 ST,11
11,0,1373230835,,15,1373230876,Nikon XTH 225 ST,12
12,0,1373233103,Dual x-ray source system (180kV nanofocus and 240kV microfocus).,12,1437068320,GE Phoenix v / tome / x,12
13,0,1373233159,,14,1373233192,Scanco Medical uCT 40,12
14,0,1373233159,,14,1373233192,Scanco Medical vivaCT 75,12
17,0,1376913227,,17,1376989983,SkyScan in-vivo 1076,33
18,0,1382516785,"The innovative flexible geometry of the SkyScan 1172 scanner is particularly advantageous over intermediate resolution levels, where scans are several times faster (to obtain the same or better image quality) compared to micro-CT systems with a fixed source-detector design. The new large format cooled x-ray digital camera achieves high spatial resolution without compromising sample size. Fast scan and reconstruction throughput is supported by a computer cluster option, which reconstructs scan datasets in less time than the scan duration in most cases, using several PCs in parallel. Cross section images are generated in a wide range of formats up to 8k x 8k pixels. The full range of SkyScan software for 2D / 3D quantitative analysis and for realistic 3D visualization supplied with all scanners.",18,1382516785,SkyScan 1172,41
19,0,1386608945,,19,1386608945,DVM5000 Leice digital microscope,12
20,0,1392143082,medical CT scanner,20,1392143082,64-source medical CT scanner,12
21,0,1393964449,,21,1393964493,Xradia MicroXCT,13
22,0,1395320892,"The system was built by Bio-Imaging Research, currently part of Varian",22,1409778023,Varian OMNI-X HD-600 HRxCT,12
23,0,1396394706,,23,1559183095,GE eXplore Locus in vivo,12
24,0,1396395249,not a CT scanner,24,1446785931,Breuckmann Structured Light Scanner,12
25,0,1396395275,not a CT scanner,24,1446785931,NextEngine laser scanner,12
26,0,1399046274,,25,1399046276,X-Tek HMXST225,109
27,0,1416433897,not a CT scanner,24,1446785931,Cyberware laser scanner,12
28,0,1422466631,,26,1422466694,Scanco Medical uCT 35,12
29,0,1425327847,Structured light surface scanner,27,1425328053,Artec Spider,167
30,0,1425328184,Micro-focus X-ray Tomography Machine,28,1425328184,Nikon XTH 225 ST,167
31,0,1425328358,Computerized tomography,29,1425328358,Phillips Brilliance 180Pz,167
32,0,1426260588,"Mounted on stationary copy stand with 2 Bowens Streamlite lamps, tethered to dedicated computer and controlled using Nikno Camera Control Pro.",30,1426260730,"Nikon D5100, 60mm/105mm Macro Lens Camera",132
33,0,1431636862,,31,1431637192,Next Engine ,47
34,0,1434295690,Medical CT scanner,32,1434295690,Siemens SOMATOM Defintion AS,300
35,0,1434305143,laser surface scanner,33,1434305143,NextEngine 3D Laser Scanner,212
36,0,1437068320,Field Emission SEM with EDS and CL capability.,12,1437068320,Hitachi S-4700 ,14
37,0,1437068320,Environmental (variable pressure) SEM with EDS and EBSD capability. Uses LaB6 filament.,12,1437068320,Zeiss EVO 60 VPSEM,14
38,0,1437068530,The SEM is a high magnification imaging tool. Resolution is on the order of 2nm.,11,1437068535,FEI XL30 SEM-FEG,14
39,0,1437068530,The ESEM + EDS is an instrument that can be used to image and complete elemental analysis on dry or hydrated samples.  A tensile stage is available for use on the ESEM.,11,1437068535,FEI XL30 ESEM with Bruker XFlash 4010 EDS Det,14
40,0,1438009812,,34,1438012568,Nanotom m,349
41,0,1440192633,Surface laser scanner,35,1440200552,NextEngine,339
42,0,1440200552,Digital photograph (by John Hawks),35,1440200552,Canon 6D,339
43,0,1440200552,Digital photograph (by Peter Schmid),35,1440200552,Nikon ,339
44,0,1443558102,,36,1443558109,Next Engine,47
45,0,1444230079,The Nikon Metrology HMX ST 225 is a versatile micro-CT scanner that can image specimens from 0.5-20 centimetres in diameter with a maximum resolution of five micrometres. It can produce a maximum accelerating voltage of 225 kilovolts. - See more at: http://www.nhm.ac.uk/our-science/departments-and-staff/core-research-labs/imaging-and-analysis-centre/nikon-metrology-hmx.html#sthash.29AJjWuo.dpuf,37,1444230079,Nikon Metrology HMX ST 225,370
46,0,1446785931,not a CT scanner,24,1446785931,Minolta Vivid 910 laser surface scanner,12
47,0,1447447944,"microXCT utilizes cone-beam acquisition: data for up to 2000 slices covering an entire volume can be acquired in a single rotation. Because the height of the scan field is equivalent to its width, high-aspect-ratio specimens must generally be scanned in contiguous parts and the parts then matched together. The microXCT scanner features a Hamamatsu X-ray source capable of energies from 40 to 150 kV. The detectors are mounted on microscope objectives with magnifications ranging from 0.4X to 40X; the former yields a field of view of ~55 mm, whereas the latter yields ~0.5 mm. Thus the spatial resolution for the microXCT ranges from ~55 µm to less than 1 µm. The microXCT scanner also offers the advantage of enhanced phase contrast to better image materials with low mean atomic numbers such as soft tissues and polymers.",39,1474375512,Zeiss (Xradia) microXCT 400,12
48,0,1449224674,High throughput  CT scanner for large objects,40,1449224678,The Rapiscan RTT110 CT ,51
49,0,1449224674,Walk in custom specification MicroCT Scanner,40,1449224678,Nikon 225/320 kV  Custom Bay,51
50,0,1449224674,Nikon XTH 225 MicroCT scanner-standard size cabinet,40,1449224678,Nikon XTH 225,51
51,0,1449224737,LMI technologies portable structured light scanner,41,1449224744,LMI HDi R3 advance,51
52,0,1452246625,,42,1452246650,RX in-vivo Skyscan 1076 microtomograph,1372
53,0,1454620006,"SCANCO Medical, Brüttisellen, Switzerland",43,1454620006,SCANCO microCT 50 ,167
54,0,1455026496,,44,1455026496,Siemens Somatom,1435
55,0,1457709987,Features: 400X400 mm (16X16”) detector plate. Multiple scans of a sample can be stitched together. Maximum geometric magnification 2000X (2D)/200X (3D). Maximum sample weight 20kg. Detail detectability 200 nm.,46,1457710016,GE V|tome|xm240 CT Scanner,132
56,0,1458637883,Portable 3D surface scanner,47,1458637883,DAVID SLS-2,1669
57,0,1459779710,,48,1464901019,Phoenix VTome|x M,1589
58,0,1459955211,,49,1459955214,Nikon XTH 225 ST,40
59,0,1462043341,,50,1462043654,General Electric EVS-RS9 micro-CT,2130
60,0,1462550380,,51,1462550530,Siemens single source medical CT scanner,2130
61,0,1463166218,1173 with material testing stage. ,52,1463166218,Bruker Skyscan 1173,866
62,0,1463762663,,53,1463762663,Siemens Somatom 40 slice helical CT scanner,263
63,0,1463884317,,54,1463884317,VivaCT 40,85
64,0,1464901019,,48,1464901019,YXLON FF35 CT,2164
65,0,1465845174,"The GE v|tome|x system is a dual-tube system equipped with a 300kV unipolar microfocus X-ray tube, a 180kV nanofocus X-ray tube with transmission target assembly, and a GE DXR250 high-contrast digital flat panel detector. The high-energy xs|300 d unipolar 300kV, 500W X-ray tube uses a tungsten reflection target system. This Xray tube allows CT imaging of a range of object sizes and densities at high-resolution with a maximum feature detectability of 1 mm. The xs|300 d unipolar allows for the flexibility of conducting both low energy, high-resolution scanning and higher energy scanning for larger, denser objects. The system is also equipped with a second tube, the xs|180nf 180kV, 15W nanofocus X-ray tube. The xs|180nf uses a transmission target system to achieve nanofocus with detail detectabilities in the sub-500 nm range. The xs|180nf also uses a diamond exit window that greatly enhances data quality compared to the more common beryllium windows. The nanofocus tube includes both tungsten and molybdenum target assemblies. Molydenum targets optimize the X-ray spectrum at low acceleration voltages and enhance detectability of low density, soft materials like soft biological tissue. The v|tome|x L 300 uses a high-contrast GE DXR|250|HCD 4 megapixel (2048x2048) digital flat panel detector. This detector is mounted on a track and is automatically translated laterally so that the detector field can be doubled. This so-called “virtual detector” effectively increases the available pixel field to 4096 wide by 2048 high. The increased pixel field allows a much larger projection image to be collected so that maximum resolutions for scanning increase to approximately 1/4000th the diameter of the object being scanned.",55,1465845174,GE v|tome|x L300 multi-scale nano/microCT sys,132
66,0,1465845174,"This system has been in operation since 2001 and is designed for both high resolution and flexibility. It includes dual 225 kV and 320 kV X-ray sources and a 1024x1024 pixel analog area detector with image intensifier. The micro-focus source is an X-Tek 225 kV, 225W tube with a nominal focal spot size of about 5 mm at 5W. The higher-power source is a Pantak 1600W sealed x-ray tube capable of 320 kV with the minimum focal spot of >100 mm. The OMNI-X is capable of continuously variable magnification with pixel sizes approximately 1/1000th of the sample diameter. The strength of the HD-600 is the flexibility to image objects ranging in size from 10 mm to 200 mm with a variety of material densities.",55,1465845174,Varian BIR HD-600 OMNI-X multi-scale industri,132
67,0,1467144945,structured light scanner,56,1501528864,GoMeasure3D: HDI Advance R3X MonoChrome Scann,12
68,0,1467383958,decommissioned in 2013,39,1474375513,ACTIS scanner with FeinFocus X-ray source,12
69,0,1469805527,Structured light scanner,58,1469807613,Artec Space Spider,2669
70,0,1472833481,"The phoenix nanotom® m is a nanoCT® system for scientific and industrial computed tomography (microCT and nanoCT) and 3D metrology. The system realizes a unique spatial and contrast resolution on a wide sample and application range. Fully automated execution of CT scan, reconstruction and analysis process ensures its ease of use and fast, reliable CT results. Precise and reproducible 3D measurements of complex objects and the automatic generation of first article inspection reports within an hour are possible.",59,1472833495,phoenix nanotom m,2164
71,0,1472833481,"The v|tome|x s is a versatile high-resolution system for 2D X-ray inspection and 3D computed tomography (micro ct and nano ct) and 3D metrology. To allow high flexibility, the v|tome|x s may be equipped with a 180 kV/15 W high-power nanofocus X-ray tube and a 240 kV/320 W microfocus tube. Due to this unique combination, the CT system is a very effective and reliable tool for a wide range of applications from extreme high-resolution scans of low absorbing materials as well as for 3D analysis of high absorbing objects.",59,1472833495,phoenix v|tome|x s ,2164
72,0,1476121317,,61,1529160264,Nikon Metrology XT H 225 ST,77
73,0,1476121318,,61,1529160264,GE Nanotom Phoenix M,77
74,0,1476121318,,61,1529160264,SCANCO uCT 50,77
75,0,1479520763,,62,1479521548,Phoenix v|tome|x S,2164
78,0,1483713146,,64,1483713151,GE Discovery PET/CT,906
79,0,1484885385,,65,1484885397,Inveon PET-CT (Siemens),3284
80,0,1485632152,non-contact digitizer / scans at between 0.1-0.5mm resolution depending on object actual size,66,1485978740,Konica-Minolta Vivid 9i,12
81,0,1485977826,,66,1485978740,Faro Focus,12
82,0,1485977853,,66,1485978740,Faro Edge Arm,12
83,0,1486129631,,67,1486129631,Nikon XTH225 ST,12
84,0,1487009285,,68,1487009285,Xradia MicroXCT-400,2773
85,0,1487009285,,68,1487009285,Xradia MicroXCT-200,2773
86,0,1487009285,,68,1487009285,Xradia nanoXCT-100,2773
87,0,1487009285,,68,1487009285,SkyScan 1172,2773
88,0,1489694526,,69,1489694526,Artec Spider,422
89,0,1489694526,,69,1489694526,HDI 120,422
90,0,1491828277,,70,1491832885,2016 Siemens Somatom Perspective 64  Computed,12
